201904180501 07.1124 3.2612133.55 20.336.3299  4.0 330.33 0.2 0.1 F674B 16180500.P19663   
 TCU129 2   90.37    5.40   7.10   7.98  60.0 C4110800.SMT SMTA 20190418050100.  257.     
 TCU021 3   90.56    7.94  14.92  11.30 209.8 17010800.MNS NANO 20190418050026.  334.     
 TCU177 3   90.57   10.98  20.38  17.44 216.3 44910800.MNS NANO 20190418050026.  317.     
 TCU076 3   90.59    5.60   9.90  11.92 210.7 22210800.MNS NANO 20190418050027.  260.     
 TCU161 3   90.59    5.50  11.38  13.34 240.0 N4910800.SMT SMTA 20190418050000.  339.     
 TCU053 3   90.76    4.88   8.42   9.68 206.9 24110800.MNS NANO 20190418050027.  280.     
 ILA002 4   90.84    8.38  25.20  28.76 224.8 35510800.MNS NANO 20190418050027.   16.     
 TTN032 2   90.88    2.42   4.56   4.46 240.0 M3310800.SMT SMTA 20190418050000.  189.     
 TCU159 3   90.90    7.24   9.98   9.58 120.0 D5210800.SMT SMTA 20190418050100.  260.     
 TCU032 3   90.97   11.20  16.62  16.10 236.8 52810800.MNS NANO 20190418050025.  305.     
 MND010 3   91.19    4.12   7.42   8.44  50.0 T498001.108  A900 20190418050059.  279.     
 HWA041 3   91.27    6.40   6.88   8.06 218.8 32910800.MNS NANO 20190418050027.  197.     
 TCU167 3   91.37    5.64  21.58  21.08 300.0 O2410800.SMT SMTA 20190418050000.  242.     
 MTN142 4   91.45   12.54  24.24  32.88 246.8 33810800.MNS NANO 20190418050026.  331.     
 TCU133 3   91.91    4.68  11.62  10.62  51.0 13924500.CVA CVA  20190418050140.  276.     
 MTN111 3   91.92    8.20  12.42  13.72  71.0 T080001.245  A900 20190418050114.  350.     
 TCU173 3   92.00    7.04  10.18  14.52 222.1 48910800.MNS NANO 20190418050028.  274.     
 TCU051 3   92.18    3.38  10.50   7.24 212.4 17710800.MNS NANO 20190418050028.  277.     
